檔案,分頁,月份,欄位,舊值,新值,差異,差異%
TPASS使用比例.xlsx,花蓮公路,113/06,總搭乘人次,28495,28469,-26,-0.09
TPASS使用比例.xlsx,花蓮公路,113/07,總搭乘人次,26670,26657,-13,-0.05
TPASS使用比例.xlsx,花蓮公路,113/08,總搭乘人次,27661,27647,-14,-0.05
TPASS使用比例.xlsx,花蓮公路,113/09,總搭乘人次,30378,30366,-12,-0.04
TPASS使用比例.xlsx,花蓮公路,113/10,總搭乘人次,28795,28780,-15,-0.05
TPASS使用比例.xlsx,花蓮公路,113/11,總搭乘人次,34756,34721,-35,-0.1
TPASS使用比例.xlsx,花蓮公路,113/12,總搭乘人次,31734,31709,-25,-0.08
TPASS使用比例.xlsx,花蓮公路,114/01,總搭乘人次,26108,26084,-24,-0.09
TPASS使用比例.xlsx,花蓮公路,114/02,總搭乘人次,25695,25675,-20,-0.08
TPASS使用比例.xlsx,花蓮公路,114/03,總搭乘人次,32262,32250,-12,-0.04
TPASS使用比例.xlsx,花蓮公路,114/04,總搭乘人次,32662,32598,-64,-0.2
TPASS使用比例.xlsx,花蓮公路,114/05,總搭乘人次,32038,32009,-29,-0.09
TPASS使用比例.xlsx,花蓮公路,114/06,總搭乘人次,30035,30016,-19,-0.06
TPASS使用比例.xlsx,花蓮公路,114/07,總搭乘人次,28667,28639,-28,-0.1
TPASS使用比例.xlsx,花蓮公路,114/08,總搭乘人次,29570,29551,-19,-0.06
TPASS使用比例.xlsx,花蓮公路,114/09,總搭乘人次,31208,31189,-19,-0.06
TPASS使用比例.xlsx,花蓮公路,114/10,總搭乘人次,32181,32151,-30,-0.09
TPASS使用比例.xlsx,花蓮公路,114/11,總搭乘人次,26596,26571,-25,-0.09
TPASS使用比例.xlsx,花蓮公路,114/12,總搭乘人次,31890,31861,-29,-0.09
TPASS使用比例.xlsx,花蓮公路,115/01,總搭乘人次,27617,27594,-23,-0.08
TPASS使用比例.xlsx,花蓮公路,115/02,總搭乘人次,24163,24146,-17,-0.07
TPASS使用比例.xlsx,花蓮公路,115/03,總搭乘人次,35277,34104,-1173,-3.33
TPASS使用比例.xlsx,花蓮公路,115/04,總搭乘人次,56491,34305,-22186,-39.27
TPASS使用比例.xlsx,花蓮公路,115/05,總搭乘人次,34109,33146,-963,-2.82
TPASS使用比例.xlsx,花蓮公路,115/06,總搭乘人次,29551,29272,-279,-0.94
TPASS使用比例.xlsx,花蓮公路,113/06,TPASS搭乘人次,4745,4743,-2,-0.04
TPASS使用比例.xlsx,花蓮公路,113/07,TPASS搭乘人次,3577,3574,-3,-0.08
TPASS使用比例.xlsx,花蓮公路,113/08,TPASS搭乘人次,3534,3531,-3,-0.08
TPASS使用比例.xlsx,花蓮公路,113/09,TPASS搭乘人次,5934,5933,-1,-0.02
TPASS使用比例.xlsx,花蓮公路,113/10,TPASS搭乘人次,5383,5382,-1,-0.02
TPASS使用比例.xlsx,花蓮公路,113/11,TPASS搭乘人次,6077,6072,-5,-0.08
TPASS使用比例.xlsx,花蓮公路,113/12,TPASS搭乘人次,5735,5732,-3,-0.05
TPASS使用比例.xlsx,花蓮公路,114/04,TPASS搭乘人次,6318,6309,-9,-0.14
TPASS使用比例.xlsx,花蓮公路,114/05,TPASS搭乘人次,6603,6596,-7,-0.11
TPASS使用比例.xlsx,花蓮公路,114/06,TPASS搭乘人次,5809,5807,-2,-0.03
TPASS使用比例.xlsx,花蓮公路,114/07,TPASS搭乘人次,4547,4546,-1,-0.02
TPASS使用比例.xlsx,花蓮公路,114/09,TPASS搭乘人次,6525,6524,-1,-0.02
TPASS使用比例.xlsx,花蓮公路,114/10,TPASS搭乘人次,6657,6656,-1,-0.02
TPASS使用比例.xlsx,花蓮公路,114/11,TPASS搭乘人次,5945,5944,-1,-0.02
TPASS使用比例.xlsx,花蓮公路,115/03,TPASS搭乘人次,7839,7593,-246,-3.14
TPASS使用比例.xlsx,花蓮公路,115/04,TPASS搭乘人次,11800,7084,-4716,-39.97
TPASS使用比例.xlsx,花蓮公路,115/05,TPASS搭乘人次,7175,6959,-216,-3.01
TPASS使用比例.xlsx,花蓮公路,115/06,TPASS搭乘人次,5934,5847,-87,-1.47
TPASS使用比例.xlsx,花蓮公路,114/04,TPASS比例,19.3,19.4,0.0999999999999979,0.52
TPASS使用比例.xlsx,花蓮公路,114/08,TPASS比例,13,13.1,0.0999999999999996,0.77
TPASS使用比例.xlsx,花蓮公路,115/03,TPASS比例,22.2,22.3,0.100000000000001,0.45
TPASS使用比例.xlsx,花蓮公路,115/04,TPASS比例,20.9,20.7,-0.199999999999999,-0.96
TPASS使用比例.xlsx,花蓮公路,115/06,TPASS比例,20.1,20,-0.100000000000001,-0.5
TPASS使用比例.xlsx,臺東公路,114/10,總搭乘人次,87936,87935,-1,0
TPASS使用比例.xlsx,臺東公路,115/04,總搭乘人次,82504,81709,-795,-0.96
TPASS使用比例.xlsx,臺東公路,115/04,TPASS搭乘人次,32442,32328,-114,-0.35
TPASS使用比例.xlsx,臺東公路,115/04,TPASS比例,39.3,39.6,0.300000000000004,0.76
TPASS使用比例.xlsx,花蓮市區,113/07,總搭乘人次,20798,20797,-1,0
TPASS使用比例.xlsx,花蓮市區,113/09,總搭乘人次,35987,35986,-1,0
TPASS使用比例.xlsx,花蓮市區,113/10,總搭乘人次,33193,33192,-1,0
TPASS使用比例.xlsx,花蓮市區,113/11,總搭乘人次,35521,35517,-4,-0.01
TPASS使用比例.xlsx,花蓮市區,113/12,總搭乘人次,39379,39378,-1,0
TPASS使用比例.xlsx,花蓮市區,114/01,總搭乘人次,21619,21618,-1,0
TPASS使用比例.xlsx,花蓮市區,114/02,總搭乘人次,22094,22092,-2,-0.01
TPASS使用比例.xlsx,花蓮市區,114/03,總搭乘人次,29233,29231,-2,-0.01
TPASS使用比例.xlsx,花蓮市區,114/04,總搭乘人次,29369,29366,-3,-0.01
TPASS使用比例.xlsx,花蓮市區,114/05,總搭乘人次,28146,28144,-2,-0.01
TPASS使用比例.xlsx,花蓮市區,114/06,總搭乘人次,26383,26380,-3,-0.01
TPASS使用比例.xlsx,花蓮市區,114/08,總搭乘人次,23101,21582,-1519,-6.58
TPASS使用比例.xlsx,花蓮市區,114/09,總搭乘人次,33958,30685,-3273,-9.64
TPASS使用比例.xlsx,花蓮市區,114/10,總搭乘人次,35107,31272,-3835,-10.92
TPASS使用比例.xlsx,花蓮市區,114/11,總搭乘人次,26905,26904,-1,0
TPASS使用比例.xlsx,花蓮市區,114/12,總搭乘人次,30074,30073,-1,0
TPASS使用比例.xlsx,花蓮市區,115/04,總搭乘人次,20038,14146,-5892,-29.4
TPASS使用比例.xlsx,花蓮市區,113/09,TPASS搭乘人次,5498,5497,-1,-0.02
TPASS使用比例.xlsx,花蓮市區,113/10,TPASS搭乘人次,6123,6122,-1,-0.02
TPASS使用比例.xlsx,花蓮市區,113/11,TPASS搭乘人次,6875,6871,-4,-0.06
TPASS使用比例.xlsx,花蓮市區,114/02,TPASS搭乘人次,5695,5693,-2,-0.04
TPASS使用比例.xlsx,花蓮市區,114/03,TPASS搭乘人次,8880,8879,-1,-0.01
TPASS使用比例.xlsx,花蓮市區,114/04,TPASS搭乘人次,7872,7870,-2,-0.03
TPASS使用比例.xlsx,花蓮市區,114/06,TPASS搭乘人次,6828,6825,-3,-0.04
TPASS使用比例.xlsx,花蓮市區,114/08,TPASS搭乘人次,5345,3827,-1518,-28.4
TPASS使用比例.xlsx,花蓮市區,114/09,TPASS搭乘人次,12161,8890,-3271,-26.9
TPASS使用比例.xlsx,花蓮市區,114/10,TPASS搭乘人次,13900,10065,-3835,-27.59
TPASS使用比例.xlsx,花蓮市區,115/04,TPASS搭乘人次,4133,3212,-921,-22.28
TPASS使用比例.xlsx,花蓮市區,113/11,TPASS比例,19.4,19.3,-0.0999999999999979,-0.52
TPASS使用比例.xlsx,花蓮市區,114/08,TPASS比例,23.1,17.7,-5.4,-23.38
TPASS使用比例.xlsx,花蓮市區,114/09,TPASS比例,35.8,29,-6.8,-18.99
TPASS使用比例.xlsx,花蓮市區,114/10,TPASS比例,39.6,32.2,-7.4,-18.69
TPASS使用比例.xlsx,花蓮市區,115/04,TPASS比例,20.6,22.7,2.1,10.19
TPASS使用比例.xlsx,臺東市區,113/06,總搭乘人次,12309,12307,-2,-0.02
TPASS使用比例.xlsx,臺東市區,113/07,總搭乘人次,23036,11517,-11519,-50
TPASS使用比例.xlsx,臺東市區,113/08,總搭乘人次,14745,14744,-1,-0.01
TPASS使用比例.xlsx,臺東市區,113/09,總搭乘人次,14433,14431,-2,-0.01
TPASS使用比例.xlsx,臺東市區,113/11,總搭乘人次,16157,16156,-1,-0.01
TPASS使用比例.xlsx,臺東市區,113/12,總搭乘人次,13757,13756,-1,-0.01
TPASS使用比例.xlsx,臺東市區,114/01,總搭乘人次,10936,10935,-1,-0.01
TPASS使用比例.xlsx,臺東市區,114/02,總搭乘人次,20278,10139,-10139,-50
TPASS使用比例.xlsx,臺東市區,114/03,總搭乘人次,12206,12205,-1,-0.01
TPASS使用比例.xlsx,臺東市區,114/06,總搭乘人次,15133,15131,-2,-0.01
TPASS使用比例.xlsx,臺東市區,114/07,總搭乘人次,12897,12893,-4,-0.03
TPASS使用比例.xlsx,臺東市區,114/09,總搭乘人次,12934,11829,-1105,-8.54
TPASS使用比例.xlsx,臺東市區,114/10,總搭乘人次,15791,14427,-1364,-8.64
TPASS使用比例.xlsx,臺東市區,113/07,TPASS搭乘人次,1704,852,-852,-50
TPASS使用比例.xlsx,臺東市區,113/08,TPASS搭乘人次,988,987,-1,-0.1
TPASS使用比例.xlsx,臺東市區,114/02,TPASS搭乘人次,3780,1890,-1890,-50
TPASS使用比例.xlsx,臺東市區,114/03,TPASS搭乘人次,2716,2715,-1,-0.04
TPASS使用比例.xlsx,臺東市區,114/06,TPASS搭乘人次,2937,2936,-1,-0.03
