年月,1次,2–5次,6–10次,11–20次,21–40次,41次以上
113/06,77,60,21,39,15,3
113/07,54,63,20,15,6,2
113/08,96,95,17,12,7,2
113/09,82,98,42,55,26,1
113/10,100,96,30,51,24,1
113/11,89,122,31,64,23,0
113/12,87,94,26,40,60,2
114/01,86,92,39,48,23,0
114/02,82,117,31,46,23,0
114/03,84,98,34,42,41,4
114/04,91,126,35,42,42,2
114/05,102,136,38,45,36,6
114/06,95,141,40,37,41,8
114/07,98,131,27,18,13,3
114/08,138,166,19,16,11,1
114/09,40,181,67,46,29,12
114/10,44,186,74,40,37,22
114/11,108,123,33,32,28,1
114/12,98,134,27,32,33,6
115/01,98,131,34,35,17,1
115/02,103,137,26,8,5,1
115/03,121,129,31,32,26,4
115/04,133,120,34,43,8,1
115/05,150,166,35,41,21,2
115/06,140,193,44,36,15,2
