年月,1次,2–5次,6–10次,11–20次,21–40次,41次以上
113/06,3826,2490,101,62,25,5
113/07,3893,2417,82,42,14,4
113/08,5025,3142,121,35,18,6
113/09,3900,2903,125,77,43,5
113/10,3631,2682,140,80,33,4
113/11,3888,3414,177,88,30,1
113/12,3278,2457,132,72,74,6
114/01,3039,2022,129,70,33,2
114/02,2766,1826,122,73,30,2
114/03,3243,2169,100,63,49,9
114/04,3964,2838,118,61,54,5
114/05,4355,2838,109,66,50,9
114/06,4331,2971,137,53,48,11
114/07,4293,2662,121,33,20,5
114/08,4761,3160,103,36,20,3
114/09,3357,2255,142,68,39,14
114/10,3888,2825,156,64,46,24
114/11,3161,2241,95,54,37,3
114/12,3754,2506,122,50,43,12
115/01,3217,2117,133,50,26,5
115/02,3517,2252,84,19,14,2
115/03,3421,2247,118,48,37,9
115/04,4093,2602,108,61,17,1
115/05,4653,3387,158,58,37,6
115/06,4054,2738,134,50,28,7
