月份,月總使用次數,當月使用人數,當月日數,每人每月平均使用次數,日均使用次數
113 年 6 月,12309,6509,30,1.891,0.063
113 年 7 月,11518,6452,31,1.785,0.058
113 年 8 月,14745,8347,31,1.767,0.057
113 年 9 月,14433,7053,30,2.046,0.068
113 年 10 月,13452,6570,31,2.047,0.066
113 年 11 月,16157,7598,30,2.126,0.071
113 年 12 月,13757,6019,31,2.286,0.074
114 年 1 月,10936,5295,31,2.065,0.067
114 年 2 月,10139,4819,28,2.104,0.075
114 年 3 月,12206,5633,31,2.167,0.07
114 年 4 月,14381,7040,30,2.043,0.068
114 年 5 月,14840,7427,31,1.998,0.064
114 年 6 月,15133,7551,30,2.004,0.067
114 年 7 月,12897,7134,31,1.808,0.058
114 年 8 月,14386,8083,31,1.78,0.057
114 年 9 月,12926,5875,30,2.2,0.073
114 年 10 月,15782,7003,31,2.254,0.073
114 年 11 月,11433,5591,30,2.045,0.068
114 年 12 月,13272,6487,31,2.046,0.066
115 年 1 月,11423,5548,31,2.059,0.066
115 年 2 月,10483,5888,28,1.78,0.064
115 年 3 月,12073,5880,31,2.053,0.066
115 年 4 月,12648,6882,30,1.838,0.061
115 年 5 月,16134,8299,31,1.944,0.063
115 年 6 月,13533,7011,30,1.93,0.064
